,title,guid,specialization,city,companyName,totalCompensation,totalCompensationNumber,totalCompensationDetails,baseSalary,baseSalaryNumber,oldYearForData,otherContext
896,🔒 Mid-level position within product &amp; program management,ypl49i5rkovvg4tkgr5kk,,Rotterdam (hybrid option),Mendix,"€70,000",70000,"€70K salary, €5K benefits","€5,833/month",70000,2022,
897,Architect,p6l5j6d3s5n0p2jtblgu,,Flexible days,Caesar groep,"€82,500",82500,"€70K salary, €13K bonus, €12K benefits","€5,832/month",70000,2021,
898,Software Developer ,ejl4sxhrapu4nxxbs5qah,,amsterdam,Booking.com,"€121,000",121000,"€100K salary, €15K bonus, €6K equity/year, €3K relocation","€8,333/month",100000,2022,
899,Senior Software Engineer,tll54uncyqxp1smxc0cpj,,,🔒 Open source tech company,"€125,000",125000,"€120K salary, €5K sign-on","€10,000/month",120000,2022,
900,🔒 Mid-level position within software engineering,wkl3nb2pcgqcyl2kh5n,,Eindhoven,ASML,"€74,500",74500,"€62K salary, €12K bonus","€5,167/month",62000,2022,
901,Team Lead,9fl2z06xqoq7tp9063ho,,Rotterdam,Mendix,"€60,000",60000,€60K salary,"€5,000/month",60000,2022,
902,Data Engineer,u1l4vu2xpl0rwydvzyuk4d,,Utrecht (flexible days),🔒 Healthcare industry,"€52,000",52000,"€48K salary, €4K bonus","€4,000/month",48000,2022,
903,Solution Architect,b8l2xp09bn5vs88hkjubi,,Den Haag,🔒 Tech company,"€87,000",87000,€87K salary,"€7,265/month",87000,2021,
904,Solution Architect ,j3l2wuh2oyttfbn3rnw38,,Flexible days,🔒 Dutch energy company,"€73,000",73000,€73K salary,"€6,100/month",73000,2021,
905,Senior Software Engineer,zjl2rnp9kjdczrkjgkkh,Frontend,Amsterdam (hybrid option),Booking.com,"€151,000",151000,"€115K salary, €23K bonus, €13K equity/year","€9,583/month",115000,2022,
906,Tech Consultant ,o6l2x6poxds9r1t5yvvoc,,Den Haag (hybrid option),KPN,"€67,500",67500,"€62K salary, €5K bonus","€5,189/month",62500,2022,
907,SAP BI Consultant,y5l2w4w1f6ktxeb2qnxk,,,🔒 Energy industry,"€173,000",173000,€173K salary,"€14,440/month (€95/hour)",173000,2021,Freelance
908,Site Reliability Engineer,a3l2lppnux7l9vxrdalpv,,Remote from anywhere,🔒 Tech startup,"€89,000",89000,"€84K salary, €5K equity/year","€7,020/month",84000,2022,
909,CTO,8wl2lgtt7lh8z2bu4rtmu,,Flexible days,🔒 Local Startup,"€107,000",107000,"€97K salary, €10K bonus, €20K benefits","€8,083/month",97000,2022,
910,Product Designer,8zl2eif48mv5h686uhqe8,,Remote from anywhere,🔒 HR-tech startup,"€177,000",177000,€177K salary,"€14,750/month",177000,2022,Freelance
911,Senior Software Engineer,vil265tdq6da3ztagz98j,,,Bol.com,"€106,000",106000,"€92K salary, €14K bonus","€7,667/month",92000,2022,
912,Customer Success Manager,1zl2ijf1vb124ft6jj0n1,,,🔒 Series A Startup,"€80,000",80000,€80K salary,"€6,667/month",80000,2022,
913,Senior Account Manager ,tvl2w77zp67h2wpfkf7le,,Utrecht,Xerox,"€75,500",75500,"€50K salary, €25K bonus","€4,200/month",50500,2021,
914,Software Engineer,mcl2kjre5q1nbq1xabqmt,,Amsterdam (hybrid option),Bestseller,"€65,000",65000,"€65K salary, €2K benefits","€5,417/month",65000,2022,
915,Frontend Developer,5dl2fvzxasirrfe4ura7m,,Amsterdam,Picnic,"€60,000",60000,€60K salary,"€5,000/month",60000,2022,
916,Software Engineer (L4),d6l21yakzy8vwy81m9u16,,Amsterdam,Databricks,"€228,000",228000,"€103K salary, €13K bonus, €5K sign-on, €108K equity/year, €13K relocation","€8,550/month",103000,2022,
917,Medior Software Engineer,hpl1z96421n39v2och4nh,,Delft (hybrid option),Exact,"€56,000",56000,"€52K salary, €4K bonus","€4,320/month",52000,2022,
918,Senior DevOps Engineer,cul1v1jryc5kya1kj0w5j,,Utrecht (flexible days),🔒 Fintech industry,"€80,000",80000,€80K salary,"€6,667/month",80000,2022,
919,Security Lead,dnl1fb5tdoy19ylw3mw9,,,🔒 Technology services company,"€124,000",124000,"€120K salary, €4K bonus","€10,000/month",120000,2022,
920,Senior Software Engineer,epl1zfayorm4od163000a,,Amsterdam (remote within country),🔒 US-based social network,"€215,000",215000,"€135K salary, €15K sign-on, €65K equity/year, €20K benefits","€11,250/month",135000,2022,
921,Agile Coach,r1l1nnxenofzyaxj3z85a,,Amsterdam,🔒 Fashion industry,"€70,000",70000,€70K salary,"€5,833/month",70000,2022,
922,Designer,tpl1hybznlsm0z4l7g3h,,,🔒 Atlassian Marketplace vendor,"€71,500",71500,€72K salary,"€5,958/month",71500,2022,
923,Senior Software Engineer,i1l1m6ps1r4lac2sb16kr,,Amsterdam (flexible days),Pegasystems,"€117,000",117000,"€95K salary, €11K bonus, €7K sign-on, €4K equity/year, €10K relocation","€7,917/month",95000,2022,
924,Senior Backend Engineer,xxl1gn8dkj1utjsaechyu,,Amsterdam (hybrid option),🔒 Hospitality industry,"€78,500",78500,€78K salary,"€6,525/month",78500,2022,
925,Software Developer,8el1gfcpsjdchnbymkbei,,Oss (hybrid option),🔒 Communication solutions company,"€46,700",46700,"€44K salary, €2K bonus, €1K sign-on","€3,683/month",44200,2022,
926,Engineering Manager,n3lepmrae9pwgnpldfm7q,,,Fishbowl,"€150,000",150000,€150K salary,"€12,500/month",150000,2023,
927,Senior Test Engineer,fulg8z796qav63xp4cpkq,,,Mendix,"€73,000",73000,€73K salary,"€6,083/month",73000,2023,
928,MLOps Engineer,8olg69q3wnkfoyjcyx16,,Amsterdam,TMNL,"€100,000",100000,€100K salary,"€8,333/month",100000,2023,
929,Senior Software Engineer,e8lg6yi0cqiqew0wwsqh,,Flexible days,ASML,"€182,000",182000,€182K salary,"€15,200/month (€100/hour)",182000,2023,Freelance
930,Senior Software Developer,08lg6zjltrl17i5ohtxy,,Amsterdam,Booking.com,"€164,000",164000,"€123K salary, €25K bonus, €16K equity/year","€10,250/month",123000,2023,
931,Software Engineer,3qlg732g9wtpxdhtclb4k,,Flexible days,Amazon,"€125,000",125000,"€95K salary, €30K equity/year","€7,917/month",95000,2023,
932,Director of Product,6alg50hdc7bbma09naawb,,Amsterdam (hybrid option),US-based tech startup (Series A),"€150,000",150000,€150K salary,"€12,500/month",150000,2023,
933,Security Specialist,rolg5307umfce8xcrk3h,,Utrecht (hybrid option),Northwave,"€52,000",52000,"€52K salary, €9K benefits","€4,340/month",52000,2023,
934,Senior Software Engineer,2elg54o21a845ms7lx6f6,,Amsterdam,Van Lanschot Kempen,"€86,000",86000,"€80K salary, €6K bonus, €18K benefits","€6,667/month",80000,2022,
935,Data Analyst,m2lfxqyeh79kgelb7vws,,Amsterdam (flexible days),Adyen,"€91,500",91500,"€65K salary, €14K bonus, €13K equity/year, €2K benefits","€5,417/month",65000,2022,
936,SDE 2,spl864t8kz0i9fua3w1lv,,,Amazon,"€115,000",115000,"€97K salary, €18K sign-on","€8,083/month",97000,2022,
937,Senior Engineering Manager,selcw21gfifwz2wmq09ck,,Amsterdam,Salesforce,"€217,000",217000,"€145K salary, €22K bonus, €50K equity/year","€12,083/month",145000,2022,
938,Data Scientist ,dlldbhg7lpqdiaqk1i6fp,,,Ageas,"€31,500",31500,"€30K salary, €2K bonus","€2,500/month",30000,2023,
939,Principal Data Engineer,qcldbl2h4w5h3ra4bu29a,,Schiphol-Oost,KLM,"€219,000",219000,€219K salary,"€18,240/month (€120/hour)",219000,2023,Freelance
940,Software Engineer,ipldj66xmg2jdcfxmgsu7,,,IMC Trading,"€155,000",155000,"€111K salary, €44K bonus","€9,250/month",111000,2023,
941,Team Lead,xslfw7toultecw1ppclb,,,Ceasing Company,"€117,000",117000,"€105K salary, €12K bonus","€8,750/month",105000,2023,
942,Product Owner,eyl0xitg91hlacgn77xj,,,🔒 Transport company,"€59,500",59500,"€55K salary, €4K bonus","€4,600/month",55000,2022,
943,Junior Cloud Engineer ,ool0vd3yucyg7kqu0ih4r,,Amsterdam,🔒 Cloud computing industry,"€65,000",65000,€65K salary,"€5,400/month",65000,2022,
944,🔒 Senior-level position within product &amp; program management,qxl0v9v6kduaeld0013zn,,,Miro,"€118,000",118000,"€118K salary, €10K relocation","€9,833/month",118000,2022,
945,Lead Engineer,2pl0ra8rzezwoemfubsrh,,Amsterdam,🔒 Dutch Bank,"€108,000",108000,€108K salary,"€9,000/month",108000,2022,
946,Senior Engineering Manager,8xl0r6uz1ywpb7mt022s,,Amsterdam,Salesforce,"€230,000",230000,"€155K salary, €31K bonus, €44K equity/year","€12,917/month",155000,2022,
947,Software Architect ,9al0r1uoqmdu9pt6b8hqs,,Amsterdam,🔒 FinTech industry,"€101,000",101000,"€88K salary, €13K bonus","€7,333/month",88000,2021,
948,Staff+ engineer,qgl0r0ie4o8urxo1lh3hl,,Hybrid option,🔒 Accounting tech company,"€177,000",177000,"€133K salary, €34K bonus, €10K sign-on, €22K benefits","€11,083/month",133000,2022,
949,🔒 Senior-level position within other,u1l0qlbtgmlu6m5o88kjs,,Hybrid option,Booking.com,"€130,000",130000,"€98K salary, €20K bonus, €13K equity/year","€8,125/month",97500,2022,
950,Senior ICT Consultant,m2l0m5sv2ujjoebgs867s,,Diemen,🔒 HR industry,"€137,000",137000,€137K salary,"€11,400/month (€75/hour)",137000,2022,Freelance
951,Senior Software engineer,i0l0m1rsd9wkr8owk1c3,,,TomTom,"€80,000",80000,€80K salary,"€6,667/month",80000,2022,
952,Software Engineer ,z5l0latjcgnqdqlscv3qh,,Amsterdam,IBM,"€75,000",75000,€75K salary,"€6,250/month",75000,2022,
953,Software Developer,60l0la3b0btn392vkrtj,,,Booking.com,"€104,000",104000,"€90K salary, €14K bonus","€7,500/month",90000,2022,
954,Backend Engineer,fll0k6awmobpcvnpufnj8,,Amsterdam (hybrid option),🔒 Series C startup,"€65,000",65000,"€65K salary, €3K benefits","€5,400/month",65000,2022,
955,Senior Software Engineer,0ql0k0xpz6zt64g19ealh,,Remote from anywhere,Trustbit,"€83,500",83500,€84K salary,"€6,960/month",83500,2022,
956,Senior Product Manager,xgl0glcehy950mgiae9xd,,,🔒 HR Tech industry,"€84,000",84000,€84K salary,"€7,000/month",84000,2022,
957,Senior Software Engineer,irl0ck53vngttu2pm8gp,,Amsterdam,🔒 Fleet management company,"€97,000",97000,"€88K salary, €9K bonus","€7,333/month",88000,2021,
958,Product Manager,eakzwp1yq9h0m2l77rx5k,,Enschede (hybrid option),🔒 Local Startup,"€63,000",63000,"€54K salary, €9K bonus","€4,500/month",54000,2022,
959,Senior Frontend Engineer,tmkzrn5il6usx7dasd6j9,,Amsterdam (remote from anywhere),🔒 E-commerce startup with US HQ,"€119,000",119000,"€107K salary, €13K equity/year, €4K benefits","€8,910/month",107000,2022,
960,Software Engineer,qekzrckacs7xmx6g2jz9h,Backend,Hybrid option,Typeform,"€59,000",59000,€59K salary,"€4,917/month",59000,2022,
961,Software Engineer II,jykzq68wckwv60uopcb1,,Amsterdam (flexible days),Mollie,"€95,500",95500,"€87K salary, €9K bonus, €5K relocation","€7,250/month",87000,2022,
962,🔒 Senior-level position within software engineering,ffkzq1g3qq9mj2y0mjpwp,,Amsterdam,MessageBird,"€91,500",91500,"€90K salary, €1K equity/year, €4K relocation","€7,500/month",90000,2022,
963,🔒 Senior-level position within software engineering,mykzm1qj1hqxopfpzkpa,,Amsterdam (hybrid option),Meta,"€245,000",245000,"€100K salary, €15K bonus, €50K sign-on, €80K equity/year, €25K relocation","€8,333/month",100000,2022,
