,Company,Level,Years of Experience,City,Total Compensation,Salary,Germany
46,Ordio,Senior,4  yrs,"Cologne, NW, Germany ","7,1 χιλ. | N/A | N/A",7.1,Germany
47,DB Systel,Senior,5-10  yrs,"Berlin, BE, Germany ","6,5 χιλ. | N/A | N/A",6.5,Germany
48,Apple,ICT3,11  yrs,"Munich, BY, Germany ","8,2 χιλ. | 4,2 χιλ. | 833,3",8.2,Germany
49,sennder,L5,12  yrs,"Berlin, BE, Germany ","8,1 χιλ. | 1,5 χιλ. | N/A",8.1,Germany
50,Cognigy,Senior,7  yrs,"Dusseldorf, NW, Germany ","6,8 χιλ. | N/A | N/A",6.8,Germany
51,Bolt,L6,11  yrs,"Berlin, BE, Germany ","11,2 χιλ. | 5 χιλ. | N/A",11.2,Germany
52,Web2pix,L1,5  yrs,"Me, BW, Germany ",5 χιλ. | N/A | N/A,5,Germany
53,Airbus,Junior Software Engineer,2  yrs,"Munich, BY, Germany ","5,7 χιλ. | N/A | N/A",5.7,Germany
54,sennder,L5,8  yrs,"Berlin, BE, Germany ","8,3 χιλ. | N/A | 833,3",8.3,Germany
55,HeyJobs,L3,5  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
56,BCG,L2,14  yrs,"Berlin, BE, Germany ","8,3 χιλ. | N/A | N/A",8.3,Germany
57,Axel Springer SE,Principal,13  yrs,"Berlin, BE, Germany ",10 χιλ. | N/A | N/A,10,Germany
58,Fresenius Medical...,Software Engineer,6  yrs,"Saarbrucken, SL, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
59,KAYAK,Senior,12  yrs,"Berlin, BE, Germany ","8,7 χιλ. | 2,9 χιλ. | 891,7",8.7,Germany
60,OneFootball,E1,12  yrs,"Berlin, BE, Germany ","9,6 χιλ. | N/A | N/A",9.6,Germany
61,Mozilla,P4,10  yrs,"Berlin, BE, Germany ",10 χιλ. | N/A | N/A,10,Germany
62,Delivery Hero,IC2,8  yrs,"Berlin, BE, Germany ","7,5 χιλ. | 708,3 | N/A",7.5,Germany
63,Token,L4,11  yrs,"Berlin, BE, Germany ","9,8 χιλ. | N/A | N/A",9.8,Germany
64,Aiven,L5,11+  yrs,"Berlin, BE, Germany ","10,4 χιλ. | 208,3 | N/A",10.4,Germany
65,Raisin,hidden,0-1  yrs,"Berlin, BE, Germany ",5 χιλ. | N/A | N/A,5,Germany
66,Raiys,Senior,7  yrs,"Aschaffenburg, BY, Germany ","5,7 χιλ. | N/A | N/A",5.7,Germany
67,Topseven,Senior Software Engineer,11  yrs,"Munich, BY, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
68,Upvest,Middle,7  yrs,"Berlin, BE, Germany ","6,3 χιλ. | 1,7 χιλ. | N/A",6.3,Germany
69,Amazon,SDE II,10  yrs,"Berlin, BE, Germany ","7,5 χιλ. | 2,5 χιλ. | N/A",7.5,Germany
70,KAYAK,Senior,13  yrs,"Berlin, BE, Germany ","8,5 χιλ. | 3,3 χιλ. | 833,3",8.5,Germany
71,Bosch Global,Middle,7  yrs,"Berlin, BE, Germany ","7,2 χιλ. | N/A | 833,3",7.2,Germany
72,Amazon,SDE II,6  yrs,"Berlin, BE, Germany ","8,2 χιλ. | 3,3 χιλ. | N/A",8.2,Germany
73,Amazon,SDE III,8  yrs,"Berlin, BE, Germany ","10 χιλ. | 1,7 χιλ. | N/A",10,Germany
74,Flink,L3,8  yrs,"Berlin, BE, Germany ","8,1 χιλ. | N/A | N/A",8.1,Germany
75,Tourlane,L4,5-10  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
76,eBay,SE 3,9  yrs,"Berlin, BE, Germany ","6,1 χιλ. | 2,5 χιλ. | N/A",6.1,Germany
77,GitLab,L3,10  yrs,"Berlin, BE, Germany ","9,2 χιλ. | 3,3 χιλ. | N/A",9.2,Germany
78,Align Technology,L6,7  yrs,"Darmstadt, HE, Germany ","6,7 χιλ. | 833,3 | 583,3",6.7,Germany
79,Intel,Grade 7,7  yrs,"Munich, BY, Germany ","8,3 χιλ. | 1,7 χιλ. | 666,7",8.3,Germany
80,Exxeta,hidden,5-10  yrs,"Stuttgart, BW, Germany ","3,5 χιλ. | N/A | N/A",3.5,Germany
81,Westwing,Senior,5  yrs,"Munich, BY, Germany ","7,9 χιλ. | N/A | N/A",7.9,Germany
82,Foxbase,L3,13  yrs,"Dusseldorf, NW, Germany ","7,9 χιλ. | N/A | 100",7.9,Germany
83,Mieterengel,L3,2  yrs,"Berlin, BE, Germany ","4,5 χιλ. | N/A | N/A",4.5,Germany
84,Grammarly,L3,9  yrs,"Berlin, BE, Germany ","10 χιλ. | 833,3 | N/A",10,Germany
85,Deutsche Bank,AVP,8  yrs,"Berlin, BE, Germany ","6,6 χιλ. | N/A | N/A",6.6,Germany
86,N/A,hidden,2-4  yrs,"Erlangen, BY, Germany ","5,2 χιλ. | N/A | N/A",5.2,Germany
87,Reply,Consultant I,1  yr,"Munich, BY, Germany ","4,6 χιλ. | N/A | 458,3",4.6,Germany
88,Grammarly,L3,12  yrs,"Berlin, BE, Germany ","9,6 χιλ. | 2,1 χιλ. | N/A",9.6,Germany
89,Vivy,L3,7  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
90,Contentful,IC5,13  yrs,"Berlin, BE, Germany ",10 χιλ. | N/A | N/A,10,Germany
91,N/A,hidden,11+  yrs,"Passau, BY, Germany ",5 χιλ. | N/A | N/A,5,Germany
92,IOHK,P3,5  yrs,"Berlin, BE, Germany ","12,5 χιλ. | N/A | N/A",12.5,Germany
93,N/A,hidden,5-10  yrs,"Essen, NW, Germany ","5,7 χιλ. | N/A | 250",5.7,Germany
94,Enpal,Senior,10  yrs,"Berlin, BE, Germany ","10,6 χιλ. | N/A | N/A",10.6,Germany
95,Enpal,L3,8  yrs,"Berlin, BE, Germany ",10 χιλ. | N/A | N/A,10,Germany
96,Wayfair,L3,13  yrs,"Berlin, BE, Germany ","9,6 χιλ. | N/A | N/A",9.6,Germany
97,Avision,L3,13  yrs,"Munich, BY, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
98,Cariad,Software Engineer,10  yrs,"Berlin, BE, Germany ","7,7 χιλ. | N/A | N/A",7.7,Germany
99,Micro Epsilon,L1,5  yrs,"Me, BW, Germany ","4,7 χιλ. | N/A | N/A",4.7,Germany
100,BMW,L1,0  yrs,"Munich, BY, Germany ","1,3 χιλ. | N/A | N/A",1.3,Germany
101,Dataport Aör,Senior Software Engineer,18  yrs,"Hamburg, HH, Germany ","7,3 χιλ. | N/A | N/A",7.3,Germany
102,Zattoo,hidden,5-10  yrs,"Berlin, BE, Germany ","6,7 χιλ. | N/A | N/A",6.7,Germany
103,Netlight,Associate Manager,6  yrs,"Berlin, BE, Germany ","7,2 χιλ. | N/A | 2,1 χιλ.",7.2,Germany
104,N/A,-,3  yrs,"Dresden, SN, Germany ","4,7 χιλ. | N/A | N/A",4.7,Germany
105,N/A,hidden,11+  yrs,"Berlin, BE, Germany ",6 χιλ. | N/A | N/A,6,Germany
106,Flink Se,L3,7  yrs,"Berlin, BE, Germany ","7,5 χιλ. | N/A | N/A",7.5,Germany
107,OTTO,Senior Software Engineer,15  yrs,"Hamburg, HH, Germany ","7,2 χιλ. | N/A | 666,7",7.2,Germany
108,MBition,L3,10  yrs,"Berlin, BE, Germany ","5,9 χιλ. | N/A | 750",5.9,Germany
109,SAP,T1,1  yr,"Walldorf, BW, Germany ","4,5 χιλ. | 416,7 | 133,3",4.5,Germany
110,N/A,-,7  yrs,"Berlin, BE, Germany ","3,1 χιλ. | N/A | N/A",3.1,Germany
111,Neylux,L1,1  yr,"Munich, BY, Germany ","4,2 χιλ. | N/A | N/A",4.2,Germany
112,Cisco,Software Engineer IV,6  yrs,"Munich, BY, Germany ","10 χιλ. | 4,2 χιλ. | 1,7 χιλ.",10,Germany
113,Verses AI,-,5  yrs,"Munich, BY, Germany ","12,9 χιλ. | N/A | N/A",12.9,Germany
114,Healthtech Ventures,L3,8  yrs,"Hamburg, HH, Germany ","8,3 χιλ. | N/A | N/A",8.3,Germany
115,ThyssenKrupp,12,9  yrs,"Dortmund, NW, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
116,parcelLab,L3,8  yrs,"Munich, BY, Germany ","7,4 χιλ. | N/A | N/A",7.4,Germany
117,Zalando,C5,3  yrs,"Berlin, BE, Germany ",5 χιλ. | N/A | N/A,5,Germany
118,Doctorbox,L2,14  yrs,"Berlin, BE, Germany ","4,6 χιλ. | N/A | N/A",4.6,Germany
119,Technology & Stra...,L2,10  yrs,"Stuttgart, BW, Germany ","6,3 χιλ. | N/A | N/A",6.3,Germany
120,Daiichi Sankyo,Senior,11+  yrs,"Munich, BY, Germany ","8,3 χιλ. | N/A | 1 χιλ.",8.3,Germany
121,SoundCloud,Level 3,10  yrs,"Berlin, BE, Germany ","8,3 χιλ. | N/A | N/A",8.3,Germany
122,Deutsche Bank,Director,15  yrs,"Berlin, BE, Germany ","12,2 χιλ. | N/A | 3,7 χιλ.",12.2,Germany
123,Contiamo,Senior,6  yrs,"Berlin, BE, Germany ","7,2 χιλ. | N/A | N/A",7.2,Germany
124,Parity Technologies,L4,14  yrs,"Berlin, BE, Germany ","9,4 χιλ. | 2,9 χιλ. | N/A",9.4,Germany
125,Zalando,C4,2  yrs,"Berlin, BE, Germany ","5,8 χιλ. | 166,7 | N/A",5.8,Germany
126,Google,L3,3  yrs,"Munich, BY, Germany ","6,8 χιλ. | 1,2 χιλ. | 1,4 χιλ.",6.8,Germany
127,Mercedes-Benz,IG14,6  yrs,"Sindelfingen, BW, Germany ","7,8 χιλ. | N/A | 1,1 χιλ.",7.8,Germany
128,trivago,L4,7  yrs,"Dusseldorf, NW, Germany ","6,6 χιλ. | N/A | 191,7",6.6,Germany
129,N/A,-,8  yrs,"Munich, BY, Germany ","6,8 χιλ. | N/A | 83,3",6.8,Germany
130,Deutsche Bank,Associate,5  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | 203,3",5.8,Germany
131,trivago,L3,7  yrs,"Dusseldorf, NW, Germany ","6,2 χιλ. | N/A | N/A",6.2,Germany
132,Nvidia,IC4,10  yrs,"Berlin, BE, Germany ","10,4 χιλ. | 2,6 χιλ. | N/A",10.4,Germany
133,Serrala,Middle,6  yrs,"Hamburg, HH, Germany ","5,1 χιλ. | N/A | N/A",5.1,Germany
134,Volkswagen Infota...,Senior,4  yrs,"Bochum, NW, Germany ","6,1 χιλ. | N/A | 333,3",6.1,Germany
135,Templafy,L3,7  yrs,"Berlin, BE, Germany ","5,8 χιλ. | N/A | N/A",5.8,Germany
136,Inxmail,L3,4  yrs,"Freiburg Im Breisgau, BW, Germany ","4,8 χιλ. | N/A | N/A",4.8,Germany
137,IBM,Staff Engineer,7  yrs,"Stuttgart, BW, Germany ","7,7 χιλ. | 250 | 416,7",7.7,Germany
138,N/A,hidden,5-10  yrs,"Hamburg, HH, Germany ","7,9 χιλ. | N/A | N/A",7.9,Germany
139,Software Defined ...,Senior,11  yrs,"Munich, BY, Germany ","6,4 χιλ. | N/A | N/A",6.4,Germany
140,Amadeus,G11,14  yrs,"Munich, BY, Germany ","8,3 χιλ. | N/A | 750",8.3,Germany
141,Wolt,L5,15  yrs,"Berlin, BE, Germany ","8,3 χιλ. | 5 χιλ. | N/A",8.3,Germany
142,Deutsche Bank,Associate,6  yrs,"Berlin, BE, Germany ","6,5 χιλ. | N/A | 416,7",6.5,Germany
143,CHECK24,Junior,2  yrs,"Hamburg, HH, Germany ","4,8 χιλ. | N/A | N/A",4.8,Germany
144,TNG Technology Co...,-,3  yrs,"Munich, BY, Germany ","5,5 χιλ. | N/A | 1,4 χιλ.",5.5,Germany
